State;File;Reviewer;Report;Line
Warning;Adc.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'ADC' found.;
Warning;Adc.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'ADC' found.;
Info;Adc.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Adc.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Adc.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Adc.arxml;a1245663;Rule A202: Multiplicity of parameter 'Adc/AdcGeneral/AdcPowerStateConfig/AdcPowerState' is not valid according to AUTOSAR standard parameter definition.;
Warning;Adc.arxml;a1245663;Rule A202: Multiplicity of parameter 'Adc/AdcGeneral/AdcPowerStateConfig/AdcPowerStateReadyCbkRef' is not valid according to AUTOSAR standard parameter definition.;
Info;Adc.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Adc.arxml;a1245663;Rule A205: Container 'Adc/AdcConfigSet/AdcHwUnit' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Adc.arxml;a1245663;Rule A205: Container 'Adc/AdcConfigSet/AdcHwUnit/AdcChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Adc.arxml;a1245663;Rule A205: Container 'Adc/AdcConfigSet/AdcHwUnit/AdcGroup' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Adc.arxml;a1245663;Rule A205: Reference 'Adc/AdcGeneral/AdcOsCounterRef' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Adc.arxml;a1245663;Rule A205: Container 'Adc/AdcGeneral/AdcPowerStateConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Adc.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
