State;File;Reviewer;Report;Line
Warning;Cdd_Ipc.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_IPC' found.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_IPC' found.;
Info;Cdd_Ipc.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Cdd_Ipc.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Cdd_Ipc.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Cdd_Ipc.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A205: Container 'Cdd_Ipc/CddIpcDriver/CddIpcEndPtConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Cdd_Ipc.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A207: Missing minimum value of parameter 'Cdd_Ipc/CddIpcGeneral/CddIpcNumOfBuffers'.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A207: Missing maximum value of parameter 'Cdd_Ipc/CddIpcGeneral/CddIpcNumOfBuffers'.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A207: Missing minimum value of parameter 'Cdd_Ipc/CddIpcGeneral/CddIpcMaxBufferSize'.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A207: Missing maximum value of parameter 'Cdd_Ipc/CddIpcGeneral/CddIpcMaxBufferSize'.;
Info;Cdd_Ipc.arxml;a1245663;Rule A208: All found 'DESC' elements have values.;
Info;Cdd_Ipc.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Cdd_Ipc.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Cdd_Ipc found.;
Info;Cdd_Ipc.arxml;a1245663;Rule A211: All DestinationRefs are valid.;
Info;Cdd_Ipc.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;Cdd_Ipc.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '354621cb-2f1c-4667-9bc1-a72ce7e28a06' is not unique for 'CddIpcrecvCallbackArguments';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '354621cb-2f1c-4667-9bc1-a72ce7e28a06' is not unique for 'CddIpcrecvNotifyCallback';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '354621cb-2f1c-4667-9bc1-a72ce7e28a06' is not unique for 'CddIpcrecvNotifyCallbackArguments';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddVersionInfoApi';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddDeinitApi';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcWriteApi';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcReadApi';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcRpMsgEnable';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcRecvCallBackEnable';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcRecvNotifyCallbackEnable';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddRegisterReadBackApi';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcSafeIpcEnable';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '33e55d19-67fd-4fdd-8d16-37098753e356' is not unique for 'CddIpcCrcEnable';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID '354621cb-2f1c-4667-9bc1-a72ce7e28a06' is not unique for 'CddIpcCrcHookFunc';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID 'f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'CddIpcNumOfBuffers';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID 'f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'CddIpcMaxBufferSize';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: UUID 'f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'CddDefaultOSCounterId';
Warning;Cdd_Ipc.arxml;a1245663;Rule A220: 'TI_AM261x' contains no UUID attribute;
Info;Cdd_Ipc.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;Cdd_Ipc.arxml;a1245663;Rule A222: All post-build settings are valid.;
Info;Cdd_Ipc.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
