State;File;Reviewer;Report;Line
Warning;EthTrcv.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'ETHTRCV' found.;
Warning;EthTrcv.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'ETHTRCV' found.;
Info;EthTrcv.arxml;a1245663;Rule A105: No invalid characters found.;
Info;EthTrcv.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;EthTrcv.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;EthTrcv.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Container 'EthTrcv/EthTrcvConfigSet/EthTrcvConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Container 'EthTrcv/EthTrcvConfigSet/EthTrcvConfig/EthTrcvDemEventParameterRefs' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Container 'EthTrcv/EthTrcvConfigSet/EthTrcvConfig/EthTrcvWakeupMap' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Container 'EthTrcv/EthTrcvConfigSet/EthTrcvConfig/EthTrcvCapabType' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcv1000Mbps_speed' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcvDefaultOSCounterId' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcvDefaultOSCounterId' has no value config class entry for VARIANT_LINK_TIME.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcvTimeoutDuration' has no value config class entry for VARIANT_LINK_TIME.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Reference 'EthTrcv/EthTrcvGeneral/EthTrcvOsCounterRef' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Reference 'EthTrcv/EthTrcvGeneral/EthTrcvOsCounterRef' has no value config class entry for VARIANT_LINK_TIME.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvPublishedInformation/EthTrcvDeviceVariant' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;EthTrcv.arxml;a1245663;Rule A205: Parameter 'EthTrcv/EthTrcvPublishedInformation/EthTrcvDeviceVariant' has no value config class entry for VARIANT_LINK_TIME.;
Info;EthTrcv.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Warning;EthTrcv.arxml;a1245663;Rule A207: Missing default node of parameter 'EthTrcv/EthTrcvConfigSet/EthTrcvConfig/EthTrcvWakeUpCallout'.;
Warning;EthTrcv.arxml;a1245663;Rule A208: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcvMaxControllersSupported' does not contain 'DESC' element.;
Warning;EthTrcv.arxml;a1245663;Rule A208: Parameter 'EthTrcv/EthTrcvGeneral/EthTrcvMaxTrcvsSupported' does not contain 'DESC' element.;
Info;EthTrcv.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;EthTrcv.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module EthTrcv found.;
Info;EthTrcv.arxml;a1245663;Rule A211: All DestinationRefs are valid.;
Info;EthTrcv.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;EthTrcv.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;EthTrcv.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:a9759ad2-ac48-437e-8a69-ca0563c55964' is not unique for 'EthTrcvLinkPartnerCapability';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:986957f9-4b35-43b9-be69-f99f8e32f724' is not unique for 'EthTrcvWakeupReason1';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:3ef394b1-05e6-4e5c-8c27-6ff875c95e3f' is not unique for 'EthTrcvGetTransceiverWakeupModeApi';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:ec99cd7b-22af-4371-9c36-f8a5794b1ccf' is not unique for 'EthTrcv1000Mbps_speed';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthTrcvDefaultOSCounterId';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'EthTrcvTimeoutDuration';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:2906b28a-56d2-42e4-b090-35c9cc671503' is not unique for 'EthTrcvInternalLoopbackMode';
Warning;EthTrcv.arxml;a1245663;Rule A220: UUID 'ECUC:03f52c10-8440-4280-94f9-f2c30bc12ef9' is not unique for 'EthTrcvPublishedInformation';
Info;EthTrcv.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;EthTrcv.arxml;a1245663;Rule A222: All post-build settings are valid.;
Info;EthTrcv.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
