State;File;Reviewer;Report;Line
Warning;Gpt.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'GPT' found.;
Warning;Gpt.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'GPT' found.;
Info;Gpt.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Gpt.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Gpt.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Gpt.arxml;a1245663;Rule A202: Multiplicity of parameter 'Gpt/GptChannelConfigSet/GptChannelConfiguration/GptChannelTickFrequency' is not valid according to AUTOSAR standard parameter definition.;
Warning;Gpt.arxml;a1245663;Rule A202: Multiplicity of parameter 'Gpt/GptChannelConfigSet/GptChannelConfiguration/GptChannelTickValueMax' is not valid according to AUTOSAR standard parameter definition.;
Warning;Gpt.arxml;a1245663;Rule A202: Multiplicity of reference 'Gpt/GptChannelConfigSet/GptChannelConfiguration/GptChannelClkSrcRef' is not valid according to AUTOSAR standard parameter definition.;
Info;Gpt.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Gpt.arxml;a1245663;Rule A205: Container 'Gpt/GptChannelConfigSet/GptChannelConfiguration' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Gpt.arxml;a1245663;Rule A205: Container 'Gpt/GptChannelConfigSet/GptChannelConfiguration/GptWakeupConfiguration' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Gpt.arxml;a1245663;Rule A205: Container 'Gpt/GptDriverConfiguration/GptClockReferencePoint' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Gpt.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Info;Gpt.arxml;a1245663;Rule A207: Default values set and valid.;
Info;Gpt.arxml;a1245663;Rule A208: All found 'DESC' elements have values.;
Info;Gpt.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Gpt.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Gpt found.;
Info;Gpt.arxml;a1245663;Rule A211: All DestinationRefs are valid.;
Info;Gpt.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;Gpt.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;Gpt.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Gpt.arxml;a1245663;Rule A220: UUID '9fe555ad-f7e6-4a4b-a390-b9d56f0f9623' is not unique for 'GptCounterBlkId';
Warning;Gpt.arxml;a1245663;Rule A220: UUID 'fbb4bf5b-168d-477d-b3f9-f7b0adc9421b' is not unique for 'GptPrescaler';
Warning;Gpt.arxml;a1245663;Rule A220: UUID '1f2638ab-2a8d-4020-87b8-f98c6ab46737' is not unique for 'GptModule0CounterBlk0Frequency';
Warning;Gpt.arxml;a1245663;Rule A220: UUID '1f2638ab-2a8d-4020-87b8-f98c6ab46741' is not unique for 'GptModule3CounterBlk0Frequency';
Warning;Gpt.arxml;a1245663;Rule A220: UUID '1f2638ab-2a8d-4020-87b8-f98c6ab46742' is not unique for 'GptModule3CounterBlk1Frequency';
Warning;Gpt.arxml;a1245663;Rule A220: UUID 'f3e7f7db-54f1-4a4a-9b08-253ec0d863a1' is not unique for 'GptTimeoutDuration';
Info;Gpt.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;Gpt.arxml;a1245663;Rule A222: All post-build settings are valid.;
Info;Gpt.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
