State;File;Reviewer;Report;Line
Warning;Spi.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'SPI' found.;
Warning;Spi.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'SPI' found.;
Info;Spi.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Spi.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Spi.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Spi.arxml;a0393606;Rule A202: Multiplicity of parameter 'Spi/SpiDriver/SpiExternalDevice/SpiTimeClk2Cs' is not valid according to AUTOSAR standard parameter definition.;
Info;Spi.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDemEventParameterRefs' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiExternalDevice' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiJob' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiJob/SpiChannelList' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiSequence' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiDriver/SpiHwUnitConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Reference 'Spi/SpiDriver/SpiHwUnitConfig/SpiHwUnitCddDmaTxHandler' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Reference 'Spi/SpiDriver/SpiHwUnitConfig/SpiHwUnitCddDmaRxHandler' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Parameter 'Spi/SpiGeneral/SpiDefaultOSCounterId' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Reference 'Spi/SpiGeneral/SpiOsCounterRef' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Spi.arxml;a0393606;Rule A205: Container 'Spi/SpiGeneral/SpiHwUnitEnabled' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Spi.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Spi.arxml;a0393606;Rule A207: Missing default node of parameter 'Spi/SpiGeneral/SpiUserCallbackHeaderFile'.;
Info;Spi.arxml;a0393606;Rule A208: All found 'DESC' elements have values.;
Info;Spi.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Spi.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Spi found.;
Info;Spi.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Spi.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Spi.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Spi.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Spi.arxml;a0393606;Rule A220: UUID 'ECUC:5580473c-ad30-40fa-a3a6-c80635d0f639' is not unique for 'SpiJobId';
Warning;Spi.arxml;a0393606;Rule A220: UUID '2d4772b1-18c7-4643-b0eb-9f40bed23de7' is not unique for 'SpiHwUnitCddDmaRxHandler';
Warning;Spi.arxml;a0393606;Rule A220: UUID 'ECUC:54bb7ddb-0630-48a0-b801-15cec0164d5e' is not unique for 'SpiSafetyApi';
Info;Spi.arxml;a0393606;Rule A221: ShortNames are valid and unique.;
Info;Spi.arxml;a0393606;Rule A222: All post-build settings are valid.;
Info;Spi.arxml;a0393606;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
