State;File;Reviewer;Report;Line
Warning;Wdg.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'WDG' found.;
Warning;Wdg.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'WDG' found.;
Info;Wdg.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Wdg.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Wdg.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Wdg.arxml;a1245663;Rule A202: Multiplicity of container 'Wdg/WdgSettingsConfig/WdgSettingsOff' is not valid according to AUTOSAR standard parameter definition.;
Info;Wdg.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Wdg.arxml;a1245663;Rule A205: Container 'Wdg/WdgDemEventParameterRefs' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_DISABLE_REJECTED' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_DISABLE_REJECTED' has no multiplicity config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_DISABLE_REJECTED' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_DISABLE_REJECTED' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_MODE_FAILED' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_MODE_FAILED' has no multiplicity config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_MODE_FAILED' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_MODE_FAILED' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_HARDWARE_ERROR' has no multiplicity config class entry for VARIANT_POST_BUILD.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgDemEventParameterRefs/WDG_E_HARDWARE_ERROR' has no value config class entry for VARIANT_POST_BUILD.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgDevErrorDetect' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgDevErrorDetect' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgDisableAllowed' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgDisableAllowed' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgIndex' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgIndex' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgInitialTimeout' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgInitialTimeout' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgMaxTimeout' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgMaxTimeout' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgWindowSize' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgWindowSize' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRunArea' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRunArea' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgTriggerLocation' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgTriggerLocation' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgVersionInfoApi' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgVersionInfoApi' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRegisterReadbackApi' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRegisterReadbackApi' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRtiFrequency' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgRtiFrequency' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgSkipForceReset' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgGeneral/WdgSkipForceReset' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgPublishedInformation/WdgTriggerMode' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgPublishedInformation/WdgTriggerMode' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgPublishedInformation/WdgDeviceVariant' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgPublishedInformation/WdgDeviceVariant' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgDefaultMode' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgDefaultMode' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgInstanceId' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgInstanceId' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Container 'Wdg/WdgSettingsConfig/WdgExternalConfiguration' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgSettingsConfig/WdgExternalConfiguration/WdgExternalContainerRef' has no multiplicity config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgSettingsConfig/WdgExternalConfiguration/WdgExternalContainerRef' has no multiplicity config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Reference 'Wdg/WdgSettingsConfig/WdgExternalConfiguration/WdgExternalContainerRef' has no 'ECUC-VALUE-CONFIGURATION-CLASS' elements.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgPreloadValue' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgPreloadValue' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgReaction' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgReaction' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgWindowSize' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsFast/WdgWindowSize' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgPreloadValue' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgPreloadValue' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgReaction' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgReaction' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgWindowSize' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Wdg.arxml;a1245663;Rule A205: Parameter 'Wdg/WdgSettingsConfig/WdgSettingsSlow/WdgWindowSize' has no value config class entry for VARIANT_PRE_COMPILE.;
Info;Wdg.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Info;Wdg.arxml;a1245663;Rule A207: Default values set and valid.;
Info;Wdg.arxml;a1245663;Rule A208: All found 'DESC' elements have values.;
Info;Wdg.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Wdg.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Wdg found.;
Info;Wdg.arxml;a1245663;Rule A211: All DestinationRefs are valid.;
Info;Wdg.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;Wdg.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;Wdg.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Info;Wdg.arxml;a1245663;Rule A220: UUIDs are unique.;
Info;Wdg.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;Wdg.arxml;a1245663;Rule A222: All post-build settings are valid.;
Info;Wdg.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
