State;File;Reviewer;Report;Line
Warning;Can.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'CAN' found.;
Warning;Can.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'CAN' found.;
Info;Can.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Can.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Can.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerApplWatchdogLimit' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerCycleCountMax' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerExpectedTxTrigger' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerExternalClockSynchronisation' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerInitialRefOffset' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerInterruptEnable' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerNTUConfig' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerOperationMode' is not valid according to AUTOSAR standard parameter definition.;
Warning;Can.arxml;a0393606;Rule A202: Multiplicity of parameter 'Can/CanConfigSet/CanController/CanTTController/CanTTControllerSyncDeviation' is not valid according to AUTOSAR standard parameter definition.;
