State;File;Reviewer;Report;Line
Warning;Cdd_Dma.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_DMA' found.;
Warning;Cdd_Dma.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_DMA' found.;
Info;Cdd_Dma.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Cdd_Dma.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Cdd_Dma.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Cdd_Dma.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Cdd_Dma.arxml;a1245663;Rule A205: Container 'Cdd_Dma/CddDmaDriverHandler' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_Dma.arxml;a1245663;Rule A205: Container 'Cdd_Dma/CddDmaDriverHandler/CddDmaChannelGroup' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_Dma.arxml;a1245663;Rule A205: Container 'Cdd_Dma/CddDmaDriverHandler/CddDmaChannelGroup/CddDmaParamSets' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_Dma.arxml;a1245663;Rule A205: Container 'Cdd_Dma/CddDmaDriverHandler/CddDmaChannelTriggerConfiguration' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Cdd_Dma.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Info;Cdd_Dma.arxml;a1245663;Rule A207: Default values set and valid.;
Info;Cdd_Dma.arxml;a1245663;Rule A208: All found 'DESC' elements have values.;
Info;Cdd_Dma.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Cdd_Dma.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Cdd_Dma found.;
Info;Cdd_Dma.arxml;a1245663;Rule A211: File does not contain DestinationRefs.;
Info;Cdd_Dma.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;Cdd_Dma.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;Cdd_Dma.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Info;Cdd_Dma.arxml;a1245663;Rule A220: UUIDs are unique.;
Info;Cdd_Dma.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;Cdd_Dma.arxml;a1245663;Rule A222: File does not support post-build implementation variants.;
Info;Cdd_Dma.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
