State;File;Reviewer;Report;Line
Warning;Cdd_I2c.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_I2C' found.;
Warning;Cdd_I2c.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_I2C' found.;
Info;Cdd_I2c.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Cdd_I2c.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Cdd_I2c.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Cdd_I2c.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Parameter 'Cdd_I2c/I2cGeneral/CddIrqType' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Reference 'Cdd_I2c/I2cGeneral/CddI2cOsCounterRef' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Container 'Cdd_I2c/CddI2cHwConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Container 'Cdd_I2c/CddI2cChannelConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Container 'Cdd_I2c/CddI2cSequenceConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Cdd_I2c.arxml;a0393606;Rule A205: Container 'Cdd_I2c/CddI2cSequenceConfig/I2cChannelList' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Cdd_I2c.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Cdd_I2c.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Cdd_I2c/CddI2cHwConfig/CddI2cHwUnitFrequency'.;
Warning;Cdd_I2c.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Cdd_I2c/CddI2cHwConfig/CddI2cHwUnitFrequency'.;
Warning;Cdd_I2c.arxml;a0393606;Rule A207: Missing default node of parameter 'Cdd_I2c/CddI2cSequenceConfig/I2cChannelList/I2cChannelIndex'.;
Info;Cdd_I2c.arxml;a0393606;Rule A208: All found 'DESC' elements have values.;
Info;Cdd_I2c.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Cdd_I2c.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Cdd_I2c found.;
Info;Cdd_I2c.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Cdd_I2c.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Cdd_I2c.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Cdd_I2c.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Cdd_I2c.arxml;a0393606;Rule A220: UUID '9cdfff86-3705-4d7f-a1a2-ed7e8f825c84' is not unique for 'CddI2cArbitrationLossCheck';
Warning;Cdd_I2c.arxml;a0393606;Rule A220: UUID '9cdfff86-3705-4d7f-a1a2-ed7e8f825c84' is not unique for 'CddI2cNackAsErrorCheck';
Warning;Cdd_I2c.arxml;a0393606;Rule A220: UUID '9cdfff86-3705-4d7f-a1a2-ed7e8f825c84' is not unique for 'CddI2cCancelCheck';
Warning;Cdd_I2c.arxml;a0393606;Rule A220: UUID '9cdfff86-3705-4d7f-a1a2-ed7e8f825c84' is not unique for 'CddI2cStatusCheck';
Warning;Cdd_I2c.arxml;a0393606;Rule A220: UUID '9cdfff86-3705-4d7f-a1a2-ed7e8f825c84' is not unique for 'CddI2cMultipleSequenceInQueueProcessCheck';
