State;File;Reviewer;Report;Line
Warning;Dio.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'DIO' found.;
Warning;Dio.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'DIO' found.;
Info;Dio.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Dio.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Dio.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Dio.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Dio.arxml;a0393606;Rule A205: Container 'Dio/DioConfig/DioPort' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Dio.arxml;a0393606;Rule A205: Container 'Dio/DioConfig/DioPort/DioChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Dio.arxml;a0393606;Rule A205: Container 'Dio/DioConfig/DioPort/DioChannelGroup' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Dio.arxml;a0393606;Rule A205: Parameter 'Dio/DioPublishedInformation/DioDeviceVariant' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Dio.arxml;a0393606;Rule A205: Parameter 'Dio/DioPublishedInformation/DioDeviceVariant' has no value config class entry for VARIANT_LINK_TIME.;
Info;Dio.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Dio.arxml;a0393606;Rule A207: Missing default node of parameter 'Dio/DioConfig/DioPort/DioChannelGroup/DioChannelGroupIdentification'.;
Warning;Dio.arxml;a0393606;Rule A207: Missing default node of parameter 'Dio/DioConfig/DioPort/DioChannelGroup/DioPortMask'.;
Warning;Dio.arxml;a0393606;Rule A207: Missing default node of parameter 'Dio/DioConfig/DioPort/DioChannelGroup/DioPortOffset'.;
Warning;Dio.arxml;a0393606;Rule A208: Container 'Dio/DioDemEventParameterRef' does not contain 'DESC' element.;
Info;Dio.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Dio.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Dio found.;
Info;Dio.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Dio.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Dio.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Dio.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Dio.arxml;a0393606;Rule A220: UUID '0ed19202-7003-4135-bd0b-fb67e49f5991' is not unique for 'DioHostCoreId';
Warning;Dio.arxml;a0393606;Rule A220: 'TI_AM263Px' contains no UUID attribute;
Warning;Dio.arxml;a0393606;Rule A220: 'DioDemEnable' contains no UUID attribute;
Warning;Dio.arxml;a0393606;Rule A220: 'DioDemEventParameterRef' contains no UUID attribute;
Warning;Dio.arxml;a0393606;Rule A220: 'DIO_WRITE_CHANNEL_EVENT_ID' contains no UUID attribute;
Warning;Dio.arxml;a0393606;Rule A220: 'DIO_WRITE_PORT_EVENT_ID' contains no UUID attribute;
Warning;Dio.arxml;a0393606;Rule A220: 'DIO_E_HARDWARE_ERROR' contains no UUID attribute;
Info;Dio.arxml;a0393606;Rule A221: ShortNames are valid and unique.;
Info;Dio.arxml;a0393606;Rule A222: File does not support post-build implementation variants.;
Info;Dio.arxml;a0393606;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
