State;File;Reviewer;Report;Line
Warning;Lin.arxml;a1245663;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'LIN' found.;
Warning;Lin.arxml;a1245663;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'LIN' found.;
Info;Lin.arxml;a1245663;Rule A105: No invalid characters found.;
Info;Lin.arxml;a1245663;Rule A106: All XmlDeclarations present.;
Info;Lin.arxml;a1245663;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Lin.arxml;a1245663;Rule A204: File valid according to autosar.xsd.;
Warning;Lin.arxml;a1245663;Rule A205: Container 'Lin/LinGlobalConfig/LinChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Lin.arxml;a1245663;Rule A205: Reference 'Lin/LinGlobalConfig/LinChannel/LinChannelEcuMWakeupSource' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Lin.arxml;a1245663;Rule A206: All found 'ORIGIN' elements have values.;
Info;Lin.arxml;a1245663;Rule A207: Default values set and valid.;
Info;Lin.arxml;a1245663;Rule A208: All found 'DESC' elements have values.;
Info;Lin.arxml;a1245663;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Lin.arxml;a1245663;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Lin found.;
Info;Lin.arxml;a1245663;Rule A211: All DestinationRefs are valid.;
Info;Lin.arxml;a1245663;Rule A212: File does not contain ModuleRefs.;
Info;Lin.arxml;a1245663;Rule A213: File does not contain DefinitionRefs.;
Warning;Lin.arxml;a1245663;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Lin.arxml;a1245663;Rule A220: UUID 'ECUC:48e0b1e7-b421-4388-ac6c-04b471380669' is not unique for 'LinISRType';
Warning;Lin.arxml;a1245663;Rule A220: 'LinBaudrateConfig' contains no UUID attribute;
Info;Lin.arxml;a1245663;Rule A221: ShortNames are valid and unique.;
Info;Lin.arxml;a1245663;Rule A222: All post-build settings are valid.;
Info;Lin.arxml;a1245663;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
