State;File;Reviewer;Report;Line
Warning;Cdd_I2c.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_I2C' found.;
Warning;Cdd_I2c.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'CDD_I2C' found.;
Info;Cdd_I2c.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Cdd_I2c.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Cdd_I2c.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Cdd_I2c.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Info;Cdd_I2c.arxml;a0393606;Rule A205: Configuration class(es) of each parameter set correctly.;
Info;Cdd_I2c.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Info;Cdd_I2c.arxml;a0393606;Rule A207: Default values set and valid.;
Info;Cdd_I2c.arxml;a0393606;Rule A208: All found 'DESC' elements have values.;
Info;Cdd_I2c.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Cdd_I2c.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Cdd_I2c found.;
Info;Cdd_I2c.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Cdd_I2c.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Cdd_I2c.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Cdd_I2c.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Info;Cdd_I2c.arxml;a0393606;Rule A220: UUIDs are unique.;
Info;Cdd_I2c.arxml;a0393606;Rule A221: ShortNames are valid and unique.;
Info;Cdd_I2c.arxml;a0393606;Rule A222: File does not support post-build implementation variants.;
Info;Cdd_I2c.arxml;a0393606;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
