State;File;Reviewer;Report;Line
Warning;Eth.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'ETH' found.;
Warning;Eth.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'ETH' found.;
Info;Eth.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Eth.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Eth.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Info;Eth.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Eth.arxml;a0393606;Rule A205: Container 'Eth/EthConfigSet/EthCtrlConfig' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Container 'Eth/EthConfigSet/EthCtrlConfig/EthCtrlConfigEgress/EthCtrlConfigScheduler' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Container 'Eth/EthConfigSet/EthCtrlConfig/EthCtrlConfigEgress/EthCtrlConfigScheduler/EthCtrlConfigSchedulerPredecessor' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Container 'Eth/EthConfigSet/EthCtrlConfig/EthCtrlConfigEgress/EthCtrlConfigShaper' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCtrlConfigEgress/EthCtrlConfigShaper/EthCtrlConfigShaperIdleSlope' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Container 'Eth/EthConfigSet/EthCtrlConfig/EthDemEventParameterRefs' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthPacingClkFreq' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthPacingClkFreq' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthRxInterruptPerMsec' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthRxInterruptPerMsec' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthTxInterruptPerMsec' has no value config class entry for VARIANT_LINK_TIME.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthTxInterruptPerMsec' has no value config class entry for VARIANT_PRE_COMPILE.;
Warning;Eth.arxml;a0393606;Rule A205: Parameter 'Eth/EthConfigSet/EthCtrlConfig/EthCpdmaConfig/EthDmaModeFlags' has no value config class entry for VARIANT_LINK_TIME.;
