State;File;Reviewer;Report;Line
Warning;Icu.arxml;A0512516;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'ICU' found.;
Warning;Icu.arxml;A0512516;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'ICU' found.;
Info;Icu.arxml;A0512516;Rule A105: No invalid characters found.;
Info;Icu.arxml;A0512516;Rule A106: All XmlDeclarations present.;
Info;Icu.arxml;A0512516;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Icu.arxml;A0512516;Rule A202: Multiplicity of parameter 'Icu/IcuConfigSet/IcuChannel/IcuWakeupCapability' is not valid according to AUTOSAR standard parameter definition.;
Warning;Icu.arxml;A0512516;Rule A202: Multiplicity of parameter 'Icu/IcuGeneral/IcuReportWakeupSource' is not valid according to AUTOSAR standard parameter definition.;
Info;Icu.arxml;A0512516;Rule A204: File valid according to autosar.xsd.;
Warning;Icu.arxml;A0512516;Rule A205: Container 'Icu/IcuConfigSet/IcuChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Icu.arxml;A0512516;Rule A205: Container 'Icu/IcuConfigSet/IcuChannel/IcuSignalEdgeDetection' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Icu.arxml;A0512516;Rule A205: Container 'Icu/IcuConfigSet/IcuChannel/IcuSignalMeasurement' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Icu.arxml;A0512516;Rule A205: Container 'Icu/IcuConfigSet/IcuChannel/IcuTimestampMeasurement' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Icu.arxml;A0512516;Rule A205: Container 'Icu/IcuConfigSet/IcuChannel/IcuWakeup' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Icu.arxml;A0512516;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuSignalEdgeDetection/IcuSignalNotification'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuSignalMeasurement/IcuSignalMeasurementProperty'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuTimestampMeasurement/IcuTimestampMeasurementProperty'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuTimestampMeasurement/IcuTimestampNotification'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuChannelId'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuDefaultStartEdge'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IntrCapSelect'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuMeasurementMode'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuConfigSet/IcuChannel/IcuWakeupCapability'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing minimum value of parameter 'Icu/IcuConfigSet/IcuChannel/IcuFunctionalClock'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing maximum value of parameter 'Icu/IcuConfigSet/IcuChannel/IcuFunctionalClock'.;
Warning;Icu.arxml;A0512516;Rule A207: Missing default node of parameter 'Icu/IcuGeneral/IcuReportWakeupSource'.;
Info;Icu.arxml;A0512516;Rule A208: All found 'DESC' elements have values.;
Info;Icu.arxml;A0512516;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Icu.arxml;A0512516;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Icu found.;
Info;Icu.arxml;A0512516;Rule A211: All DestinationRefs are valid.;
Info;Icu.arxml;A0512516;Rule A212: File does not contain ModuleRefs.;
Info;Icu.arxml;A0512516;Rule A213: File does not contain DefinitionRefs.;
Warning;Icu.arxml;A0512516;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Icu.arxml;A0512516;Rule A220: 'IntrCapSelect' contains no UUID attribute;
Warning;Icu.arxml;A0512516;Rule A220: 'IcuXbarSelect' contains no UUID attribute;
Info;Icu.arxml;A0512516;Rule A221: ShortNames are valid and unique.;
Info;Icu.arxml;A0512516;Rule A222: All post-build settings are valid.;
Info;Icu.arxml;A0512516;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
