State;File;Reviewer;Report;Line
Warning;Pwm.arxml;a0393606;Rule A101: SW version check: No corresponding BSW-IMPLEMENTATION node for component 'PWM' found.;
Warning;Pwm.arxml;a0393606;Rule A101: Vendor ID check: No corresponding BSW-IMPLEMENTATION node for component 'PWM' found.;
Info;Pwm.arxml;a0393606;Rule A105: No invalid characters found.;
Info;Pwm.arxml;a0393606;Rule A106: All XmlDeclarations present.;
Info;Pwm.arxml;a0393606;Rule A202: All AUTOSAR standard parameter definitions present.;
Warning;Pwm.arxml;a0393606;Rule A202: Multiplicity of reference 'Pwm/PwmChannelConfigSet/PwmChannel/PwmMcuClockReferencePoint' is not valid according to AUTOSAR standard parameter definition.;
Warning;Pwm.arxml;a0393606;Rule A202: Multiplicity of parameter 'Pwm/PwmGeneral/PwmPowerStateConfig/PwmPowerState' is not valid according to AUTOSAR standard parameter definition.;
Warning;Pwm.arxml;a0393606;Rule A202: Multiplicity of parameter 'Pwm/PwmGeneral/PwmPowerStateConfig/PwmPowerStateReadyCbkRef' is not valid according to AUTOSAR standard parameter definition.;
Info;Pwm.arxml;a0393606;Rule A204: File valid according to autosar.xsd.;
Warning;Pwm.arxml;a0393606;Rule A205: Container 'Pwm/PwmChannelConfigSet/PwmChannel' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Pwm.arxml;a0393606;Rule A205: Parameter 'Pwm/PwmGeneral/PwmDefaultOSCounterId' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Warning;Pwm.arxml;a0393606;Rule A205: Reference 'Pwm/PwmGeneral/PwmOsCounterRef' has no 'ECUC-MULTIPLICITY-CONFIGURATION-CLASS' elements.;
Info;Pwm.arxml;a0393606;Rule A206: All found 'ORIGIN' elements have values.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing default node of parameter 'Pwm/PwmChannelConfigSet/PwmChannel/PwmChannelId'.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing minimum value of parameter 'Pwm/PwmChannelConfigSet/PwmChannel/PwmFunctionalClock'.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing maximum value of parameter 'Pwm/PwmChannelConfigSet/PwmChannel/PwmFunctionalClock'.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing default node of parameter 'Pwm/PwmGeneral/PwmPowerStateConfig/PwmPowerState'.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing default node of parameter 'Pwm/PwmGeneral/PwmPowerStateConfig/PwmPowerStateReadyCbkRef'.;
Warning;Pwm.arxml;a0393606;Rule A207: Missing default node of parameter 'Pwm/PwmGeneral/PwmSysClockFrequency'.;
Warning;Pwm.arxml;a0393606;Rule A207: 'Empty string' should not be used as default value of parameter 'Pwm/PwmGeneral/PwmNotificationsIncludeFile'.;
Warning;Pwm.arxml;a0393606;Rule A208: Container 'Pwm/PwmConfigurationOfOptApiServices' does not contain 'DESC' element.;
Warning;Pwm.arxml;a0393606;Rule A208: Parameter 'Pwm/PwmConfigurationOfOptApiServices/PwmGetOutputState' does not contain 'DESC' element.;
Warning;Pwm.arxml;a0393606;Rule A208: Parameter 'Pwm/PwmConfigurationOfOptApiServices/PwmSetDutyCycle' does not contain 'DESC' element.;
Warning;Pwm.arxml;a0393606;Rule A208: Parameter 'Pwm/PwmConfigurationOfOptApiServices/PwmSetOutputToIdle' does not contain 'DESC' element.;
Warning;Pwm.arxml;a0393606;Rule A208: Parameter 'Pwm/PwmConfigurationOfOptApiServices/PwmSetPeriodAndDuty' does not contain 'DESC' element.;
Warning;Pwm.arxml;a0393606;Rule A208: Container 'Pwm/PwmGeneral' does not contain 'DESC' element.;
Info;Pwm.arxml;a0393606;Rule A209: Short name of 'AR-PACKAGE' is set.;
Info;Pwm.arxml;a0393606;Rule A210: Valid ECUC-MODULE-DEF/REFINED-MODULE-DEF-REF node for module Pwm found.;
Info;Pwm.arxml;a0393606;Rule A211: All DestinationRefs are valid.;
Info;Pwm.arxml;a0393606;Rule A212: File does not contain ModuleRefs.;
Info;Pwm.arxml;a0393606;Rule A213: File does not contain DefinitionRefs.;
Warning;Pwm.arxml;a0393606;Rule A214: BSW-IMPLEMENTATION node should exist but was not found.;
Warning;Pwm.arxml;a0393606;Rule A220: UUID 'ECUC:3a0e3f14-a2b9-428e-9b76-6a361c8b2ea4' is not unique for 'PwmHWChannelId';
Warning;Pwm.arxml;a0393606;Rule A220: UUID 'ECUC:b1691bdf-e530-4ee3-83ff-c3c7c91432fd' is not unique for 'PwmEnableHighRes';
Warning;Pwm.arxml;a0393606;Rule A220: UUID 'ECUC:daa5c051-75d5-4a20-8b6a-ca34afab3ddd' is not unique for 'PwmSysClockFrequency';
Info;Pwm.arxml;a0393606;Rule A221: ShortNames are valid and unique.;
Info;Pwm.arxml;a0393606;Rule A222: All post-build settings are valid.;
Info;Pwm.arxml;a0393606;Rule A223: The DESTINATION-REF's of ECUC-REFERENCE-DEF / REFERENCE-PARAM-DEF are valid;
